id,title,genres,description,year
1,The Shawshank Redemption Legacy 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",1986
2,The Green Mile Saga 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,1972
3,The Matrix Reimagined 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1970
4,La La Land Returns 6,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2001
5,The Shawshank Redemption Chronicles 3,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",1976
6,Inception Eclipse 2,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,1979
7,The Godfather Saga 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1981
8,The Social Network Rebirth 1,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2003
9,The Green Mile Odyssey 7,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 7 of an extended cinematic universe with new characters and plot twists.,2019
10,The Green Mile Genesis 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 9 of an extended cinematic universe with new characters and plot twists.,1980
11,Inception Saga 9,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 8 of an extended cinematic universe with new characters and plot twists.,2016
12,Interstellar Reimagined 7,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 7 of an extended cinematic universe with new characters and plot twists.,1972
13,The Shawshank Redemption Saga 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1983
14,The Matrix Saga 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 3 of an extended cinematic universe with new characters and plot twists.,1981
15,Parasite Uprising 6,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2014
16,Inside Out Eclipse 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1986
17,The Social Network Uprising 9,Drama,The founding of Facebook and its legal battles. This is part 7 of an extended cinematic universe with new characters and plot twists.,1973
18,Interstellar Odyssey 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,1975
19,Parasite Uprising 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 4 of an extended cinematic universe with new characters and plot twists.,1990
20,The Social Network Odyssey 6,Drama,The founding of Facebook and its legal battles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2019
21,The Godfather Reimagined 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,2023
22,The Godfather Chronicles 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 4 of an extended cinematic universe with new characters and plot twists.,2021
